n_type_n,p_type_p,a,h,R,T_h,eta,mc_p,mDOS_p,tau_eff_p,n_i_p,eta_F_p,E_g_p,mDOS_min_p,kappa_L_300_p,Cp_p,rho_p,epsilon_p,mc_n,mDOS_n,tau_eff_n,n_i_n,eta_F_n,E_g_n,mDOS_min_n,kappa_L_300_n,Cp_n,rho_n,epsilon_n
35,23,1.0,1.0,0.041,695,1.790292021,1.64,6.11,19.047385477244,3.53565191936321e+19,-0.06,0.4567,2.43,4.5,330.0,7230,22.92,1.59,4.36,12.2323035069427,4.47981445987919e+19,-0.04,1.0726,6.63,22.0,240.0,7140,17.87
35,23,1.0,1.0,0.041,877,2.633083676,1.64,6.11,19.047385477244,3.53565191936321e+19,-0.06,0.4567,2.43,4.5,330.0,7230,22.92,1.59,4.36,12.2323035069427,4.47981445987919e+19,-0.04,1.0726,6.63,22.0,240.0,7140,17.87
35,23,1.0,1.0,0.075,552,1.302247061,1.64,6.11,19.047385477244,3.53565191936321e+19,-0.06,0.4567,2.43,4.5,330.0,7230,22.92,1.59,4.36,12.2323035069427,4.47981445987919e+19,-0.04,1.0726,6.63,22.0,240.0,7140,17.87
35,23,1.0,1.0,0.075,695,2.261154235,1.64,6.11,19.047385477244,3.53565191936321e+19,-0.06,0.4567,2.43,4.5,330.0,7230,22.92,1.59,4.36,12.2323035069427,4.47981445987919e+19,-0.04,1.0726,6.63,22.0,240.0,7140,17.87
35,23,1.0,1.0,0.075,877,3.268036578,1.64,6.11,19.047385477244,3.53565191936321e+19,-0.06,0.4567,2.43,4.5,330.0,7230,22.92,1.59,4.36,12.2323035069427,4.47981445987919e+19,-0.04,1.0726,6.63,22.0,240.0,7140,17.87
35,23,1.0,1.0,4.305,552,0.150969522,1.64,6.11,19.047385477244,3.53565191936321e+19,-0.06,0.4567,2.43,4.5,330.0,7230,22.92,1.59,4.36,12.2323035069427,4.47981445987919e+19,-0.04,1.0726,6.63,22.0,240.0,7140,17.87
35,23,1.0,1.0,4.305,695,0.274108179,1.64,6.11,19.047385477244,3.53565191936321e+19,-0.06,0.4567,2.43,4.5,330.0,7230,22.92,1.59,4.36,12.2323035069427,4.47981445987919e+19,-0.04,1.0726,6.63,22.0,240.0,7140,17.87
35,23,1.0,1.0,4.305,877,0.360606844,1.64,6.11,19.047385477244,3.53565191936321e+19,-0.06,0.4567,2.43,4.5,330.0,7230,22.92,1.59,4.36,12.2323035069427,4.47981445987919e+19,-0.04,1.0726,6.63,22.0,240.0,7140,17.87
41,12,4.0,8.0,0.014,439,1.272024978,1.05,5.07,8.73420827678707,5.15920462981963e+20,0.0799999999999999,0.533872923626258,0.92,17.5,307.5,8450,48.659,0.58,1.94,10.5806956807941,5.07725870238246e+19,0.0,0.514899999999999,4.49,10.0,310.0,7620,20.9
41,12,4.0,8.0,0.014,614,3.571245918,1.05,5.07,8.73420827678707,5.15920462981963e+20,0.0799999999999999,0.533872923626258,0.92,17.5,307.5,8450,48.659,0.58,1.94,10.5806956807941,5.07725870238246e+19,0.0,0.514899999999999,4.49,10.0,310.0,7620,20.9
41,12,4.0,8.0,0.014,837,6.964736513,1.05,5.07,8.73420827678707,5.15920462981963e+20,0.0799999999999999,0.533872923626258,0.92,17.5,307.5,8450,48.659,0.58,1.94,10.5806956807941,5.07725870238246e+19,0.0,0.514899999999999,4.49,10.0,310.0,7620,20.9
41,12,4.0,8.0,0.076,439,0.398455469,1.05,5.07,8.73420827678707,5.15920462981963e+20,0.0799999999999999,0.533872923626258,0.92,17.5,307.5,8450,48.659,0.58,1.94,10.5806956807941,5.07725870238246e+19,0.0,0.514899999999999,4.49,10.0,310.0,7620,20.9
41,12,4.0,8.0,0.076,614,1.220798757,1.05,5.07,8.73420827678707,5.15920462981963e+20,0.0799999999999999,0.533872923626258,0.92,17.5,307.5,8450,48.659,0.58,1.94,10.5806956807941,5.07725870238246e+19,0.0,0.514899999999999,4.49,10.0,310.0,7620,20.9
41,12,4.0,8.0,0.076,837,2.645352421,1.05,5.07,8.73420827678707,5.15920462981963e+20,0.0799999999999999,0.533872923626258,0.92,17.5,307.5,8450,48.659,0.58,1.94,10.5806956807941,5.07725870238246e+19,0.0,0.514899999999999,4.49,10.0,310.0,7620,20.9
41,12,4.0,8.0,4.259,439,0.008181272,1.05,5.07,8.73420827678707,5.15920462981963e+20,0.0799999999999999,0.533872923626258,0.92,17.5,307.5,8450,48.659,0.58,1.94,10.5806956807941,5.07725870238246e+19,0.0,0.514899999999999,4.49,10.0,310.0,7620,20.9
41,12,4.0,8.0,4.259,614,0.025817194,1.05,5.07,8.73420827678707,5.15920462981963e+20,0.0799999999999999,0.533872923626258,0.92,17.5,307.5,8450,48.659,0.58,1.94,10.5806956807941,5.07725870238246e+19,0.0,0.514899999999999,4.49,10.0,310.0,7620,20.9
41,12,4.0,8.0,4.259,837,0.05818115,1.05,5.07,8.73420827678707,5.15920462981963e+20,0.0799999999999999,0.533872923626258,0.92,17.5,307.5,8450,48.659,0.58,1.94,10.5806956807941,5.07725870238246e+19,0.0,0.514899999999999,4.49,10.0,310.0,7620,20.9
32,32,4.0,8.0,0.048,486,2.017420067,1.4,6.59,10.9245641547053,3.98865068966309e+19,-0.0600000000000001,1.004,4.49,9.0,210.0,9830,20.37,1.44,4.49,11.7458156959854,4.66911150857657e+19,-0.04,1.004,6.59,9.0,210.0,9830,20.37
32,32,4.0,8.0,0.048,713,4.535335844,1.4,6.59,10.9245641547053,3.98865068966309e+19,-0.0600000000000001,1.004,4.49,9.0,210.0,9830,20.37,1.44,4.49,11.7458156959854,4.66911150857657e+19,-0.04,1.004,6.59,9.0,210.0,9830,20.37
32,32,4.0,8.0,0.048,898,6.226585111,1.4,6.59,10.9245641547053,3.98865068966309e+19,-0.0600000000000001,1.004,4.49,9.0,210.0,9830,20.37,1.44,4.49,11.7458156959854,4.66911150857657e+19,-0.04,1.004,6.59,9.0,210.0,9830,20.37
32,32,4.0,8.0,0.11,486,1.76714768,1.4,6.59,10.9245641547053,3.98865068966309e+19,-0.0600000000000001,1.004,4.49,9.0,210.0,9830,20.37,1.44,4.49,11.7458156959854,4.66911150857657e+19,-0.04,1.004,6.59,9.0,210.0,9830,20.37
32,32,4.0,8.0,0.11,713,4.346296386,1.4,6.59,10.9245641547053,3.98865068966309e+19,-0.0600000000000001,1.004,4.49,9.0,210.0,9830,20.37,1.44,4.49,11.7458156959854,4.66911150857657e+19,-0.04,1.004,6.59,9.0,210.0,9830,20.37
32,32,4.0,8.0,0.11,898,6.368675915,1.4,6.59,10.9245641547053,3.98865068966309e+19,-0.0600000000000001,1.004,4.49,9.0,210.0,9830,20.37,1.44,4.49,11.7458156959854,4.66911150857657e+19,-0.04,1.004,6.59,9.0,210.0,9830,20.37
32,32,4.0,8.0,2.847,486,0.144475787,1.4,6.59,10.9245641547053,3.98865068966309e+19,-0.0600000000000001,1.004,4.49,9.0,210.0,9830,20.37,1.44,4.49,11.7458156959854,4.66911150857657e+19,-0.04,1.004,6.59,9.0,210.0,9830,20.37
32,32,4.0,8.0,2.847,713,0.41445092,1.4,6.59,10.9245641547053,3.98865068966309e+19,-0.0600000000000001,1.004,4.49,9.0,210.0,9830,20.37,1.44,4.49,11.7458156959854,4.66911150857657e+19,-0.04,1.004,6.59,9.0,210.0,9830,20.37
32,32,4.0,8.0,2.847,898,0.687348713,1.4,6.59,10.9245641547053,3.98865068966309e+19,-0.0600000000000001,1.004,4.49,9.0,210.0,9830,20.37,1.44,4.49,11.7458156959854,4.66911150857657e+19,-0.04,1.004,6.59,9.0,210.0,9830,20.37
13,10,5.0,6.0,0.019,526,0.210363891,1.05,5.07,21.7100788022208,4.73054944414137e+18,-0.08,0.533872923626258,0.92,17.5,307.5,8450,48.659,0.75,3.12,19.9539261164285,4.86166985854922e+18,-0.0814951562499999,0.1929,1.92,12.3,240.0,8480,29.0
13,10,5.0,6.0,0.019,750,0.219435338,1.05,5.07,21.7100788022208,4.73054944414137e+18,-0.08,0.533872923626258,0.92,17.5,307.5,8450,48.659,0.75,3.12,19.9539261164285,4.86166985854922e+18,-0.0814951562499999,0.1929,1.92,12.3,240.0,8480,29.0
13,10,5.0,6.0,0.019,773,0.225762739,1.05,5.07,21.7100788022208,4.73054944414137e+18,-0.08,0.533872923626258,0.92,17.5,307.5,8450,48.659,0.75,3.12,19.9539261164285,4.86166985854922e+18,-0.0814951562499999,0.1929,1.92,12.3,240.0,8480,29.0
13,10,5.0,6.0,0.145,526,0.094154645,1.05,5.07,21.7100788022208,4.73054944414137e+18,-0.08,0.533872923626258,0.92,17.5,307.5,8450,48.659,0.75,3.12,19.9539261164285,4.86166985854922e+18,-0.0814951562499999,0.1929,1.92,12.3,240.0,8480,29.0
