mc_n,mDOS_n,tau_eff_n,n_i_n,eta_F_n,E_g_n,mDOS_min_n,kappa_L_300_n,Cp_n,rho_n,epsilon_n,mc_p,mDOS_p,tau_eff_p,n_i_p,eta_F_p,E_g_p,mDOS_min_p,kappa_L_300_p,Cp_p,rho_p,epsilon_p,a,h,R,T_h,eta
1.44,4.49,12.58978379,4.67e+19,-0.04,1.004,6.59,9.0,210,9830,20.37,1.4,6.59,11.45436161,3.99e+19,-0.06,1.004,4.49,9.0,210,9830,20.37,4.0,8.0,0.048,898,6.226585111
1.44,4.49,12.58978379,4.67e+19,-0.04,1.004,6.59,9.0,210,9830,20.37,1.4,6.59,11.45436161,3.99e+19,-0.06,1.004,4.49,9.0,210,9830,20.37,4.0,8.0,0.11,486,1.76714768
1.44,4.49,12.58978379,4.67e+19,-0.04,1.004,6.59,9.0,210,9830,20.37,1.4,6.59,11.45436161,3.99e+19,-0.06,1.004,4.49,9.0,210,9830,20.37,4.0,8.0,0.11,713,4.346296386
1.44,4.49,12.58978379,4.67e+19,-0.04,1.004,6.59,9.0,210,9830,20.37,1.4,6.59,11.45436161,3.99e+19,-0.06,1.004,4.49,9.0,210,9830,20.37,4.0,8.0,0.11,898,6.368675915
1.44,4.49,12.58978379,4.67e+19,-0.04,1.004,6.59,9.0,210,9830,20.37,1.4,6.59,11.45436161,3.99e+19,-0.06,1.004,4.49,9.0,210,9830,20.37,4.0,8.0,2.847,486,0.144475787
1.44,4.49,12.58978379,4.67e+19,-0.04,1.004,6.59,9.0,210,9830,20.37,1.4,6.59,11.45436161,3.99e+19,-0.06,1.004,4.49,9.0,210,9830,20.37,4.0,8.0,2.847,713,0.41445092
1.44,4.49,12.58978379,4.67e+19,-0.04,1.004,6.59,9.0,210,9830,20.37,1.4,6.59,11.45436161,3.99e+19,-0.06,1.004,4.49,9.0,210,9830,20.37,4.0,8.0,2.847,898,0.687348713
0.75,3.12,19.48437176,4.86e+18,-0.081495156,0.1929,1.92,12.3,240,8480,29.0,1.05,5.07,23.51651316,4.73e+18,-0.08,0.533872924,0.92,17.5,315,8450,48.659,5.0,6.0,0.019,526,0.210363891
0.75,3.12,19.48437176,4.86e+18,-0.081495156,0.1929,1.92,12.3,240,8480,29.0,1.05,5.07,23.51651316,4.73e+18,-0.08,0.533872924,0.92,17.5,315,8450,48.659,5.0,6.0,0.019,750,0.219435338
0.75,3.12,19.48437176,4.86e+18,-0.081495156,0.1929,1.92,12.3,240,8480,29.0,1.05,5.07,23.51651316,4.73e+18,-0.08,0.533872924,0.92,17.5,315,8450,48.659,5.0,6.0,0.019,773,0.225762739
0.75,3.12,19.48437176,4.86e+18,-0.081495156,0.1929,1.92,12.3,240,8480,29.0,1.05,5.07,23.51651316,4.73e+18,-0.08,0.533872924,0.92,17.5,315,8450,48.659,5.0,6.0,0.145,526,0.094154645
0.75,3.12,19.48437176,4.86e+18,-0.081495156,0.1929,1.92,12.3,240,8480,29.0,1.05,5.07,23.51651316,4.73e+18,-0.08,0.533872924,0.92,17.5,315,8450,48.659,5.0,6.0,0.145,750,0.098169328
0.75,3.12,19.48437176,4.86e+18,-0.081495156,0.1929,1.92,12.3,240,8480,29.0,1.05,5.07,23.51651316,4.73e+18,-0.08,0.533872924,0.92,17.5,315,8450,48.659,5.0,6.0,0.145,773,0.099032471
0.75,3.12,19.48437176,4.86e+18,-0.081495156,0.1929,1.92,12.3,240,8480,29.0,1.05,5.07,23.51651316,4.73e+18,-0.08,0.533872924,0.92,17.5,315,8450,48.659,5.0,6.0,2.559,526,0.006901443
0.75,3.12,19.48437176,4.86e+18,-0.081495156,0.1929,1.92,12.3,240,8480,29.0,1.05,5.07,23.51651316,4.73e+18,-0.08,0.533872924,0.92,17.5,315,8450,48.659,5.0,6.0,2.559,750,0.007192826
0.75,3.12,19.48437176,4.86e+18,-0.081495156,0.1929,1.92,12.3,240,8480,29.0,1.05,5.07,23.51651316,4.73e+18,-0.08,0.533872924,0.92,17.5,315,8450,48.659,5.0,6.0,2.559,773,0.007213588
0.93,4.1,21.58060653,4.83e+19,0.0,0.3962,1.88,8.0,255,10300,20.88,1.08,5.79,13.55687723,7.15e+18,-0.1,1.0083,3.64,6.8,275,8430,22.66,3.0,6.0,0.136,406,0.789887073
0.93,4.1,21.58060653,4.83e+19,0.0,0.3962,1.88,8.0,255,10300,20.88,1.08,5.79,13.55687723,7.15e+18,-0.1,1.0083,3.64,6.8,275,8430,22.66,3.0,6.0,0.136,654,2.482983212
0.93,4.1,21.58060653,4.83e+19,0.0,0.3962,1.88,8.0,255,10300,20.88,1.08,5.79,13.55687723,7.15e+18,-0.1,1.0083,3.64,6.8,275,8430,22.66,3.0,6.0,0.136,873,3.155451804
0.93,4.1,21.58060653,4.83e+19,0.0,0.3962,1.88,8.0,255,10300,20.88,1.08,5.79,13.55687723,7.15e+18,-0.1,1.0083,3.64,6.8,275,8430,22.66,3.0,6.0,0.14,406,0.786876545
0.93,4.1,21.58060653,4.83e+19,0.0,0.3962,1.88,8.0,255,10300,20.88,1.08,5.79,13.55687723,7.15e+18,-0.1,1.0083,3.64,6.8,275,8430,22.66,3.0,6.0,0.14,654,2.487628294
